Cuisine,Dish name,Dish,taste,temperature,spice level,sweet level,salt level,sour level,bitter level
Italian,ravioli,Ravioli,Salty,Hot,3,,4,,
Chinese,cockroach manchurian,Cockroach Manchurian,Salty,Hot,4,,4,,
American,nachos,Nachos,Salty,Cold,2,,4,,
Korean,jjajangmyeon,Jjajangmyeon,Spicy,Hot,5,,,,
Indian,vada pav,Vada Pav,Spicy,Hot,6,,,,
Indian,sev puri,Sev Puri,Spicy,Hot,5,,,,
Indian,khichdi,Khichdi,Salty,Hot,4,,3,,
Indian,mooti choor laddoo,Mooti choor laddoo,Sweet,Cold,1,9,,,
Indian,kunda,Kunda,Sweet,Cold,1,8,,,
Indian,pedha,Pedha,Sweet,Cold,1,8,,,
Indian,biriyani ,Biriyani ,Spicy,Hot,6,,,,
American,hamburger,Hamburger,Salty,Hot,4,,4,,
Indian,pani puri,pani puri,Sour,Cold,6,,4,6,
Indian,chicken biriyani,chicken biriyani,Spicy,Hot,7,,,,
Indian,gulab jamun,Gulab Jamun,Sweet,Hot,1,8,2,,
Indian,payasam,Payasam,Sweet,Hot,2,7,2,,
Indian,kesari,Kesari,Sweet,Hot,1,7,2,,
Indian,halwa,Halwa,Sweet,Cold,1,9,1,,
Indian,Khatta Dhokla,Khatta Dhokla,Sour,Hot,5,1,,7,
Indian,pithore kadhi,Pithore Kadhi,Sour,Hot,4,1,,8,
Indian,green garlic chutney,Green Garlic Chutney,Sour,Cold,7,,,8,
Indian,bharwa karela,Bharwa Karela,Bitter,Hot,4,,,,9
Indian ,Methichi Usal,Methichi Usal,Bitter,Hot,7,,,,7
Indian,dried fish, dried fish,Salty,Hot,6,,7,,
Indian,papad,papad,Salty,Hot,6,,6,,
American,popcorn,popcorn,Salty,Hot,4,,8,,
